n_train_data.name	class	sid	corpus_id	gender	acted	arousal	valence featfile
./wav/enterface/ENT_s13/s13_an_3_R.wav	5	11	2	0	1	2	0	./feat/RAW//s13_an_3_R.wav.csv
./wav/enterface/ENT_s13/s13_an_4_R.wav	5	11	2	0	1	2	0	./feat/RAW//s13_an_4_R.wav.csv
./wav/enterface/ENT_s13/s13_an_5_R.wav	5	11	2	0	1	2	0	./feat/RAW//s13_an_5_R.wav.csv
./wav/enterface/ENT_s14/s14_an_1_R.wav	5	12	2	0	1	2	0	./feat/RAW//s14_an_1_R.wav.csv
./wav/enterface/ENT_s14/s14_an_2_R.wav	5	12	2	0	1	2	0	./feat/RAW//s14_an_2_R.wav.csv
./wav/enterface/ENT_s14/s14_an_3_R.wav	5	12	2	0	1	2	0	./feat/RAW//s14_an_3_R.wav.csv
./wav/enterface/ENT_s14/s14_an_4_R.wav	5	12	2	0	1	2	0	./feat/RAW//s14_an_4_R.wav.csv
./wav/enterface/ENT_s14/s14_an_5_R.wav	5	12	2	0	1	2	0	./feat/RAW//s14_an_5_R.wav.csv
./wav/enterface/ENT_s15/s15_an_1_R.wav	5	13	2	0	1	2	0	./feat/RAW//s15_an_1_R.wav.csv
./wav/enterface/ENT_s15/s15_an_2_R.wav	5	13	2	0	1	2	0	./feat/RAW//s15_an_2_R.wav.csv
./wav/enterface/ENT_s15/s15_an_3_R.wav	5	13	2	0	1	2	0	./feat/RAW//s15_an_3_R.wav.csv
./wav/enterface/ENT_s15/s15_an_4_R.wav	5	13	2	0	1	2	0	./feat/RAW//s15_an_4_R.wav.csv
./wav/enterface/ENT_s15/s15_an_5_R.wav	5	13	2	0	1	2	0	./feat/RAW//s15_an_5_R.wav.csv
./wav/enterface/ENT_s16/s16_an_1_R.wav	5	14	2	0	1	2	0	./feat/RAW//s16_an_1_R.wav.csv
./wav/enterface/ENT_s16/s16_an_2_R.wav	5	14	2	0	1	2	0	./feat/RAW//s16_an_2_R.wav.csv
./wav/enterface/ENT_s16/s16_an_3_R.wav	5	14	2	0	1	2	0	./feat/RAW//s16_an_3_R.wav.csv
./wav/enterface/ENT_s16/s16_an_4_R.wav	5	14	2	0	1	2	0	./feat/RAW//s16_an_4_R.wav.csv
./wav/enterface/ENT_s16/s16_an_5_R.wav	5	14	2	0	1	2	0	./feat/RAW//s16_an_5_R.wav.csv
./wav/enterface/ENT_s17/s17_an_1_R.wav	5	15	2	0	1	2	0	./feat/RAW//s17_an_1_R.wav.csv
./wav/enterface/ENT_s17/s17_an_2_R.wav	5	15	2	0	1	2	0	./feat/RAW//s17_an_2_R.wav.csv
./wav/enterface/ENT_s17/s17_an_3_R.wav	5	15	2	0	1	2	0	./feat/RAW//s17_an_3_R.wav.csv
./wav/enterface/ENT_s17/s17_an_4_R.wav	5	15	2	0	1	2	0	./feat/RAW//s17_an_4_R.wav.csv
./wav/enterface/ENT_s17/s17_an_5_R.wav	5	15	2	0	1	2	0	./feat/RAW//s17_an_5_R.wav.csv
./wav/enterface/ENT_s18/s18_an_1_R.wav	5	16	2	0	1	2	0	./feat/RAW//s18_an_1_R.wav.csv
./wav/enterface/ENT_s18/s18_an_2_R.wav	5	16	2	0	1	2	0	./feat/RAW//s18_an_2_R.wav.csv
./wav/enterface/ENT_s18/s18_an_3_R.wav	5	16	2	0	1	2	0	./feat/RAW//s18_an_3_R.wav.csv
./wav/enterface/ENT_s18/s18_an_4_R.wav	5	16	2	0	1	2	0	./feat/RAW//s18_an_4_R.wav.csv
./wav/enterface/ENT_s18/s18_an_5_R.wav	5	16	2	0	1	2	0	./feat/RAW//s18_an_5_R.wav.csv
./wav/enterface/ENT_s19/s19_an_1_R.wav	5	17	2	0	1	2	0	./feat/RAW//s19_an_1_R.wav.csv
./wav/enterface/ENT_s19/s19_an_2_R.wav	5	17	2	0	1	2	0	./feat/RAW//s19_an_2_R.wav.csv
./wav/enterface/ENT_s19/s19_an_3_R.wav	5	17	2	0	1	2	0	./feat/RAW//s19_an_3_R.wav.csv
./wav/enterface/ENT_s19/s19_an_4_R.wav	5	17	2	0	1	2	0	./feat/RAW//s19_an_4_R.wav.csv
./wav/enterface/ENT_s19/s19_an_5_R.wav	5	17	2	0	1	2	0	./feat/RAW//s19_an_5_R.wav.csv
./wav/enterface/ENT_s20/s20_an_1_R.wav	5	18	2	0	1	2	0	./feat/RAW//s20_an_1_R.wav.csv
./wav/enterface/ENT_s20/s20_an_2_R.wav	5	18	2	0	1	2	0	./feat/RAW//s20_an_2_R.wav.csv
./wav/enterface/ENT_s20/s20_an_3_R.wav	5	18	2	0	1	2	0	./feat/RAW//s20_an_3_R.wav.csv
./wav/enterface/ENT_s20/s20_an_4_R.wav	5	18	2	0	1	2	0	./feat/RAW//s20_an_4_R.wav.csv
./wav/enterface/ENT_s20/s20_an_5_R.wav	5	18	2	0	1	2	0	./feat/RAW//s20_an_5_R.wav.csv
./wav/enterface/ENT_s21/s21_an_1_R.wav	5	19	2	0	1	2	0	./feat/RAW//s21_an_1_R.wav.csv
./wav/enterface/ENT_s21/s21_an_2_R.wav	5	19	2	0	1	2	0	./feat/RAW//s21_an_2_R.wav.csv
./wav/enterface/ENT_s21/s21_an_3_R.wav	5	19	2	0	1	2	0	./feat/RAW//s21_an_3_R.wav.csv
./wav/enterface/ENT_s21/s21_an_4_R.wav	5	19	2	0	1	2	0	./feat/RAW//s21_an_4_R.wav.csv
./wav/enterface/ENT_s21/s21_an_5_R.wav	5	19	2	0	1	2	0	./feat/RAW//s21_an_5_R.wav.csv
./wav/enterface/ENT_s22/s22_an_1_R.wav	5	20	2	0	1	2	0	./feat/RAW//s22_an_1_R.wav.csv
./wav/enterface/ENT_s22/s22_an_2_R.wav	5	20	2	0	1	2	0	./feat/RAW//s22_an_2_R.wav.csv
./wav/enterface/ENT_s22/s22_an_3_R.wav	5	20	2	0	1	2	0	./feat/RAW//s22_an_3_R.wav.csv
./wav/enterface/ENT_s22/s22_an_4_R.wav	5	20	2	0	1	2	0	./feat/RAW//s22_an_4_R.wav.csv
./wav/enterface/ENT_s22/s22_an_5_R.wav	5	20	2	0	1	2	0	./feat/RAW//s22_an_5_R.wav.csv
./wav/enterface/ENT_s23/s23_an_1_R.wav	5	21	2	0	1	2	0	./feat/RAW//s23_an_1_R.wav.csv
./wav/enterface/ENT_s23/s23_an_2_R.wav	5	21	2	0	1	2	0	./feat/RAW//s23_an_2_R.wav.csv
./wav/enterface/ENT_s23/s23_an_3_R.wav	5	21	2	0	1	2	0	./feat/RAW//s23_an_3_R.wav.csv
./wav/enterface/ENT_s23/s23_an_4_R.wav	5	21	2	0	1	2	0	./feat/RAW//s23_an_4_R.wav.csv
./wav/enterface/ENT_s23/s23_an_5_R.wav	5	21	2	0	1	2	0	./feat/RAW//s23_an_5_R.wav.csv
./wav/enterface/ENT_s24/s24_an_1_R.wav	5	22	2	0	1	2	0	./feat/RAW//s24_an_1_R.wav.csv
./wav/enterface/ENT_s24/s24_an_2_R.wav	5	22	2	0	1	2	0	./feat/RAW//s24_an_2_R.wav.csv
./wav/enterface/ENT_s24/s24_an_3_R.wav	5	22	2	0	1	2	0	./feat/RAW//s24_an_3_R.wav.csv
./wav/enterface/ENT_s24/s24_an_4_R.wav	5	22	2	0	1	2	0	./feat/RAW//s24_an_4_R.wav.csv
./wav/enterface/ENT_s24/s24_an_5_R.wav	5	22	2	0	1	2	0	./feat/RAW//s24_an_5_R.wav.csv
./wav/enterface/ENT_s25/s25_an_1_R.wav	5	23	2	0	1	2	0	./feat/RAW//s25_an_1_R.wav.csv
./wav/enterface/ENT_s25/s25_an_2_R.wav	5	23	2	0	1	2	0	./feat/RAW//s25_an_2_R.wav.csv
./wav/enterface/ENT_s25/s25_an_3_R.wav	5	23	2	0	1	2	0	./feat/RAW//s25_an_3_R.wav.csv
./wav/enterface/ENT_s25/s25_an_4_R.wav	5	23	2	0	1	2	0	./feat/RAW//s25_an_4_R.wav.csv
./wav/enterface/ENT_s25/s25_an_5_R.wav	5	23	2	0	1	2	0	./feat/RAW//s25_an_5_R.wav.csv
./wav/enterface/ENT_s26/s26_an_1_R.wav	5	24	2	1	1	2	0	./feat/RAW//s26_an_1_R.wav.csv
./wav/enterface/ENT_s26/s26_an_2_R.wav	5	24	2	1	1	2	0	./feat/RAW//s26_an_2_R.wav.csv
./wav/enterface/ENT_s26/s26_an_3_R.wav	5	24	2	1	1	2	0	./feat/RAW//s26_an_3_R.wav.csv
./wav/enterface/ENT_s26/s26_an_4_R.wav	5	24	2	1	1	2	0	./feat/RAW//s26_an_4_R.wav.csv
./wav/enterface/ENT_s26/s26_an_5_R.wav	5	24	2	1	1	2	0	./feat/RAW//s26_an_5_R.wav.csv
./wav/enterface/ENT_s27/s27_an_1_R.wav	5	25	2	0	1	2	0	./feat/RAW//s27_an_1_R.wav.csv
./wav/enterface/ENT_s27/s27_an_2_R.wav	5	25	2	0	1	2	0	./feat/RAW//s27_an_2_R.wav.csv
./wav/enterface/ENT_s27/s27_an_3_R.wav	5	25	2	0	1	2	0	./feat/RAW//s27_an_3_R.wav.csv
./wav/enterface/ENT_s27/s27_an_4_R.wav	5	25	2	0	1	2	0	./feat/RAW//s27_an_4_R.wav.csv
./wav/enterface/ENT_s27/s27_an_5_R.wav	5	25	2	0	1	2	0	./feat/RAW//s27_an_5_R.wav.csv
./wav/enterface/ENT_s28/s28_an_1_R.wav	5	26	2	1	1	2	0	./feat/RAW//s28_an_1_R.wav.csv
./wav/enterface/ENT_s28/s28_an_2_R.wav	5	26	2	1	1	2	0	./feat/RAW//s28_an_2_R.wav.csv
./wav/enterface/ENT_s28/s28_an_3_R.wav	5	26	2	1	1	2	0	./feat/RAW//s28_an_3_R.wav.csv
./wav/enterface/ENT_s28/s28_an_4_R.wav	5	26	2	1	1	2	0	./feat/RAW//s28_an_4_R.wav.csv
./wav/enterface/ENT_s28/s28_an_5_R.wav	5	26	2	1	1	2	0	./feat/RAW//s28_an_5_R.wav.csv
./wav/enterface/ENT_s29/s29_an_1_R.wav	5	27	2	1	1	2	0	./feat/RAW//s29_an_1_R.wav.csv
./wav/enterface/ENT_s29/s29_an_2_R.wav	5	27	2	1	1	2	0	./feat/RAW//s29_an_2_R.wav.csv
./wav/enterface/ENT_s29/s29_an_3_R.wav	5	27	2	1	1	2	0	./feat/RAW//s29_an_3_R.wav.csv
./wav/enterface/ENT_s29/s29_an_4_R.wav	5	27	2	1	1	2	0	./feat/RAW//s29_an_4_R.wav.csv
./wav/enterface/ENT_s29/s29_an_5_R.wav	5	27	2	1	1	2	0	./feat/RAW//s29_an_5_R.wav.csv
./wav/enterface/ENT_s30/s30_an_1_R.wav	5	28	2	0	1	2	0	./feat/RAW//s30_an_1_R.wav.csv
./wav/enterface/ENT_s30/s30_an_2_R.wav	5	28	2	0	1	2	0	./feat/RAW//s30_an_2_R.wav.csv
./wav/enterface/ENT_s30/s30_an_3_R.wav	5	28	2	0	1	2	0	./feat/RAW//s30_an_3_R.wav.csv
./wav/enterface/ENT_s30/s30_an_4_R.wav	5	28	2	0	1	2	0	./feat/RAW//s30_an_4_R.wav.csv
./wav/enterface/ENT_s30/s30_an_5_R.wav	5	28	2	0	1	2	0	./feat/RAW//s30_an_5_R.wav.csv
./wav/enterface/ENT_s31/s31_an_1_R.wav	5	29	2	1	1	2	0	./feat/RAW//s31_an_1_R.wav.csv
./wav/enterface/ENT_s31/s31_an_2_R.wav	5	29	2	1	1	2	0	./feat/RAW//s31_an_2_R.wav.csv
./wav/enterface/ENT_s31/s31_an_3_R.wav	5	29	2	1	1	2	0	./feat/RAW//s31_an_3_R.wav.csv
./wav/enterface/ENT_s31/s31_an_4_R.wav	5	29	2	1	1	2	0	./feat/RAW//s31_an_4_R.wav.csv
./wav/enterface/ENT_s31/s31_an_5_R.wav	5	29	2	1	1	2	0	./feat/RAW//s31_an_5_R.wav.csv
./wav/enterface/ENT_s32/s32_an_1_R.wav	5	30	2	0	1	2	0	./feat/RAW//s32_an_1_R.wav.csv
./wav/enterface/ENT_s32/s32_an_2_R.wav	5	30	2	0	1	2	0	./feat/RAW//s32_an_2_R.wav.csv
./wav/enterface/ENT_s32/s32_an_3_R.wav	5	30	2	0	1	2	0	./feat/RAW//s32_an_3_R.wav.csv
./wav/enterface/ENT_s32/s32_an_4_R.wav	5	30	2	0	1	2	0	./feat/RAW//s32_an_4_R.wav.csv
./wav/enterface/ENT_s32/s32_an_5_R.wav	5	30	2	0	1	2	0	./feat/RAW//s32_an_5_R.wav.csv
./wav/enterface/ENT_s33/s33_an_1_R.wav	5	31	2	1	1	2	0	./feat/RAW//s33_an_1_R.wav.csv
./wav/enterface/ENT_s33/s33_an_2_R.wav	5	31	2	1	1	2	0	./feat/RAW//s33_an_2_R.wav.csv
./wav/enterface/ENT_s33/s33_an_3_R.wav	5	31	2	1	1	2	0	./feat/RAW//s33_an_3_R.wav.csv
./wav/enterface/ENT_s33/s33_an_4_R.wav	5	31	2	1	1	2	0	./feat/RAW//s33_an_4_R.wav.csv
./wav/enterface/ENT_s33/s33_an_5_R.wav	5	31	2	1	1	2	0	./feat/RAW//s33_an_5_R.wav.csv
./wav/enterface/ENT_s34/s34_an_1_R.wav	5	32	2	0	1	2	0	./feat/RAW//s34_an_1_R.wav.csv
./wav/enterface/ENT_s34/s34_an_2_R.wav	5	32	2	0	1	2	0	./feat/RAW//s34_an_2_R.wav.csv
./wav/enterface/ENT_s34/s34_an_3_R.wav	5	32	2	0	1	2	0	./feat/RAW//s34_an_3_R.wav.csv
./wav/enterface/ENT_s34/s34_an_4_R.wav	5	32	2	0	1	2	0	./feat/RAW//s34_an_4_R.wav.csv
./wav/enterface/ENT_s34/s34_an_5_R.wav	5	32	2	0	1	2	0	./feat/RAW//s34_an_5_R.wav.csv
./wav/enterface/ENT_s35/s35_an_1_R.wav	5	33	2	0	1	2	0	./feat/RAW//s35_an_1_R.wav.csv
./wav/enterface/ENT_s35/s35_an_2_R.wav	5	33	2	0	1	2	0	./feat/RAW//s35_an_2_R.wav.csv
./wav/enterface/ENT_s35/s35_an_3_R.wav	5	33	2	0	1	2	0	./feat/RAW//s35_an_3_R.wav.csv
./wav/enterface/ENT_s35/s35_an_4_R.wav	5	33	2	0	1	2	0	./feat/RAW//s35_an_4_R.wav.csv
./wav/enterface/ENT_s35/s35_an_5_R.wav	5	33	2	0	1	2	0	./feat/RAW//s35_an_5_R.wav.csv
./wav/enterface/ENT_s36/s36_an_1_R.wav	5	34	2	0	1	2	0	./feat/RAW//s36_an_1_R.wav.csv
./wav/enterface/ENT_s36/s36_an_2_R.wav	5	34	2	0	1	2	0	./feat/RAW//s36_an_2_R.wav.csv
./wav/enterface/ENT_s36/s36_an_3_R.wav	5	34	2	0	1	2	0	./feat/RAW//s36_an_3_R.wav.csv
./wav/enterface/ENT_s36/s36_an_4_R.wav	5	34	2	0	1	2	0	./feat/RAW//s36_an_4_R.wav.csv
./wav/enterface/ENT_s36/s36_an_5_R.wav	5	34	2	0	1	2	0	./feat/RAW//s36_an_5_R.wav.csv
./wav/enterface/ENT_s37/s37_an_1_R.wav	5	35	2	0	1	2	0	./feat/RAW//s37_an_1_R.wav.csv
./wav/enterface/ENT_s37/s37_an_2_R.wav	5	35	2	0	1	2	0	./feat/RAW//s37_an_2_R.wav.csv
./wav/enterface/ENT_s37/s37_an_3_R.wav	5	35	2	0	1	2	0	./feat/RAW//s37_an_3_R.wav.csv
./wav/enterface/ENT_s37/s37_an_4_R.wav	5	35	2	0	1	2	0	./feat/RAW//s37_an_4_R.wav.csv
./wav/enterface/ENT_s37/s37_an_5_R.wav	5	35	2	0	1	2	0	./feat/RAW//s37_an_5_R.wav.csv
./wav/enterface/ENT_s38/s38_an_1_R.wav	5	36	2	0	1	2	0	./feat/RAW//s38_an_1_R.wav.csv
./wav/enterface/ENT_s38/s38_an_2_R.wav	5	36	2	0	1	2	0	./feat/RAW//s38_an_2_R.wav.csv
./wav/enterface/ENT_s38/s38_an_3_R.wav	5	36	2	0	1	2	0	./feat/RAW//s38_an_3_R.wav.csv
./wav/enterface/ENT_s38/s38_an_4_R.wav	5	36	2	0	1	2	0	./feat/RAW//s38_an_4_R.wav.csv
./wav/enterface/ENT_s38/s38_an_5_R.wav	5	36	2	0	1	2	0	./feat/RAW//s38_an_5_R.wav.csv
./wav/enterface/ENT_s39/s39_an_1_R.wav	5	37	2	0	1	2	0	./feat/RAW//s39_an_1_R.wav.csv
./wav/enterface/ENT_s39/s39_an_2_R.wav	5	37	2	0	1	2	0	./feat/RAW//s39_an_2_R.wav.csv
./wav/enterface/ENT_s39/s39_an_3_R.wav	5	37	2	0	1	2	0	./feat/RAW//s39_an_3_R.wav.csv
./wav/enterface/ENT_s39/s39_an_4_R.wav	5	37	2	0	1	2	0	./feat/RAW//s39_an_4_R.wav.csv
./wav/enterface/ENT_s39/s39_an_5_R.wav	5	37	2	0	1	2	0	./feat/RAW//s39_an_5_R.wav.csv
./wav/enterface/ENT_s40/s40_an_1_R.wav	5	38	2	0	1	2	0	./feat/RAW//s40_an_1_R.wav.csv
./wav/enterface/ENT_s40/s40_an_2_R.wav	5	38	2	0	1	2	0	./feat/RAW//s40_an_2_R.wav.csv
./wav/enterface/ENT_s40/s40_an_3_R.wav	5	38	2	0	1	2	0	./feat/RAW//s40_an_3_R.wav.csv
./wav/enterface/ENT_s40/s40_an_4_R.wav	5	38	2	0	1	2	0	./feat/RAW//s40_an_4_R.wav.csv
./wav/enterface/ENT_s40/s40_an_5_R.wav	5	38	2	0	1	2	0	./feat/RAW//s40_an_5_R.wav.csv
./wav/enterface/ENT_s41/s41_an_1_R.wav	5	39	2	0	1	2	0	./feat/RAW//s41_an_1_R.wav.csv
./wav/enterface/ENT_s41/s41_an_2_R.wav	5	39	2	0	1	2	0	./feat/RAW//s41_an_2_R.wav.csv
./wav/enterface/ENT_s41/s41_an_3_R.wav	5	39	2	0	1	2	0	./feat/RAW//s41_an_3_R.wav.csv
./wav/enterface/ENT_s41/s41_an_4_R.wav	5	39	2	0	1	2	0	./feat/RAW//s41_an_4_R.wav.csv
./wav/enterface/ENT_s41/s41_an_5_R.wav	5	39	2	0	1	2	0	./feat/RAW//s41_an_5_R.wav.csv
./wav/enterface/ENT_s42/s42_an_1_R.wav	5	40	2	0	1	2	0	./feat/RAW//s42_an_1_R.wav.csv
./wav/enterface/ENT_s42/s42_an_2_R.wav	5	40	2	0	1	2	0	./feat/RAW//s42_an_2_R.wav.csv
./wav/enterface/ENT_s42/s42_an_3_R.wav	5	40	2	0	1	2	0	./feat/RAW//s42_an_3_R.wav.csv
./wav/enterface/ENT_s42/s42_an_4_R.wav	5	40	2	0	1	2	0	./feat/RAW//s42_an_4_R.wav.csv
./wav/enterface/ENT_s42/s42_an_5_R.wav	5	40	2	0	1	2	0	./feat/RAW//s42_an_5_R.wav.csv
./wav/enterface/ENT_s43/s43_an_1_R.wav	5	41	2	0	1	2	0	./feat/RAW//s43_an_1_R.wav.csv
./wav/enterface/ENT_s43/s43_an_2_R.wav	5	41	2	0	1	2	0	./feat/RAW//s43_an_2_R.wav.csv
./wav/enterface/ENT_s43/s43_an_3_R.wav	5	41	2	0	1	2	0	./feat/RAW//s43_an_3_R.wav.csv
./wav/enterface/ENT_s43/s43_an_4_R.wav	5	41	2	0	1	2	0	./feat/RAW//s43_an_4_R.wav.csv
./wav/enterface/ENT_s43/s43_an_5_R.wav	5	41	2	0	1	2	0	./feat/RAW//s43_an_5_R.wav.csv
./wav/enterface/ENT_s44/s44_an_1_R.wav	5	42	2	1	1	2	0	./feat/RAW//s44_an_1_R.wav.csv
./wav/enterface/ENT_s44/s44_an_2_R.wav	5	42	2	1	1	2	0	./feat/RAW//s44_an_2_R.wav.csv
./wav/enterface/ENT_s44/s44_an_3_R.wav	5	42	2	1	1	2	0	./feat/RAW//s44_an_3_R.wav.csv
./wav/enterface/ENT_s44/s44_an_4_R.wav	5	42	2	1	1	2	0	./feat/RAW//s44_an_4_R.wav.csv
./wav/enterface/ENT_s44/s44_an_5_R.wav	5	42	2	1	1	2	0	./feat/RAW//s44_an_5_R.wav.csv
./wav/enterface/ENT_s01/s1_di_1_R.wav	4	0	2	0	1	0	0	./feat/RAW//s1_di_1_R.wav.csv
./wav/enterface/ENT_s01/s1_di_2_R.wav	4	0	2	0	1	0	0	./feat/RAW//s1_di_2_R.wav.csv
./wav/enterface/ENT_s01/s1_di_3_R.wav	4	0	2	0	1	0	0	./feat/RAW//s1_di_3_R.wav.csv
./wav/enterface/ENT_s01/s1_di_4_R.wav	4	0	2	0	1	0	0	./feat/RAW//s1_di_4_R.wav.csv
./wav/enterface/ENT_s01/s1_di_5_R.wav	4	0	2	0	1	0	0	./feat/RAW//s1_di_5_R.wav.csv
./wav/enterface/ENT_s02/s2_di_1_R.wav	4	1	2	0	1	0	0	./feat/RAW//s2_di_1_R.wav.csv
